Individual_number,Species,Locality,Year,Month,Data,Total_length_mm,Weight_g,Water_salinity,Water_temperature,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements
105,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,9.47,0.29,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
106,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,13.88,1.29,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
107,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,21.63,4.2,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
108,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,13.31,0.69,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
109,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,12.9,0.68,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
110,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,9.06,0.21,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
111,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,18.17,2.19,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
112,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,17.3,2,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
113,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,15.38,1.2,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
114,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,15.63,1.6,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
115,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,12.82,1,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
116,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,10.91,0.68,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
