Individual_number,Species,Locality,Year,Month,Data,Total_length_mm,Weight_g,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements
29,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.83,2.35,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
30,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.23,2.54,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
31,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.17,2.61,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
32,Phorcus mariae,Cape verde,2017,7,01/07/2017,19.07,2.75,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
33,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.43,1.85,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
34,Phorcus mariae,Cape verde,2017,7,01/07/2017,19.76,2.84,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
35,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.78,1.95,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
36,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.84,1.96,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
37,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.48,2.28,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
38,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.11,1.76,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
39,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.75,2,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
40,Phorcus mariae,Cape verde,2017,7,01/07/2017,19.15,2.55,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
41,Phorcus mariae,Cape verde,2017,7,01/07/2017,16.11,1.46,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
42,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.57,2.01,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
43,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.63,1.23,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
44,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.2,1.29,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
45,Phorcus mariae,Cape verde,2017,7,01/07/2017,14.46,1.19,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
46,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.58,1.29,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
